feature,description
perplexity,"ESM-IF inverse folding perplexity — how ""surprised"" the structure-conditioned language model is by the sequence. Lower = sequence fits structure better."
instability_index,Guruprasad instability index. >40 = predicted unstable in vitro.
gravy,"Grand Average of Hydropathy (Kyte-Doolittle). Positive = hydrophobic, negative = hydrophilic."
t40_raw,Predicted fraction of residues retaining structure at 40C.
t45_raw,Predicted fraction retaining structure at 45C.
t50_raw,Predicted fraction retaining structure at 50C.
t55_raw,Predicted fraction retaining structure at 55C.
t60_raw,Predicted fraction retaining structure at 60C.
t65_raw,Predicted fraction retaining structure at 65C.
t70_raw,Predicted fraction retaining structure at 70C.
t75_raw,Predicted fraction retaining structure at 75C.
t80_raw,Predicted fraction retaining structure at 80C.
thermophilicity_num,"Predicted thermophilicity class: 0=mesophilic, 1=undetermined, 2=thermophilic, 3=hyperthermophilic."
triad_found_bin,"Whether the conserved catalytic Asp triad (YXDD motif) was found (1=yes, 0=no)."
D1_D2_dist,Distance (Angstroms) between 1st and 2nd catalytic Asp residues.
D2_D3_dist,Distance (Angstroms) between 2nd and 3rd catalytic Asp residues.
triad_best_rmsd,RMSD (Angstroms) of the best-fit Asp triad geometry vs reference HIV-RT. Lower = more similar to known active RT.
hydrophobic_per_res,Hydrophobic contacts per residue.
salt_per_res,Salt bridges per residue.
hbonds_per_res,Hydrogen bonds per residue.
pocket_hydrophobic_per_res,Pocket hydrophobic contacts per pocket residue.
pocket_hbonds_per_res,Pocket H-bonds per pocket residue.
whole_mean_hydrophobicity,Mean Kyte-Doolittle hydrophobicity across all residues.
whole_std_hydrophobicity,Standard deviation of hydrophobicity — measures hydrophobic patterning.
yxdd_hydrophobic_fraction,Fraction of hydrophobic residues near the YXDD catalytic motif.
yxdd_mean_hydrophobicity,Mean hydrophobicity near the YXDD motif.
hairpin_pass,"Whether a beta-hairpin near the active site was found (1=yes, 0=no)."
yxdd_y_is_strand,"Whether the Y residue of YXDD catalytic motif is in beta-strand (1=yes, 0=no). Canonical active geometry."
yxdd_x_is_turn,"Whether the X residue of YXDD motif is in a turn (1=yes, 0=no)."
yxdd_d1_is_turn,"Whether the first D of YXDD motif is in a turn (1=yes, 0=no)."
yxdd_d2_is_strand,"Whether the second D of YXDD motif is in beta-strand (1=yes, 0=no). Canonical active geometry."
foldseek_best_TM,Best TM-score to any of 25+ reference RT structures (FoldSeek). Higher = more structurally similar.
foldseek_best_LDDT,Best lDDT score to any reference RT structure. Measures local distance accuracy.
foldseek_best_fident,Best fractional sequence identity to any reference from FoldSeek alignment.
foldseek_TM_HIV1,Best TM-score to HIV-1 RT reference structures.
foldseek_TM_MMLV,Best TM-score to MMLV RT reference structures (the gold-standard PE RT).
foldseek_TM_MMLVPE,Best TM-score to MMLV prime editor complex structures.
foldseek_TM_Retron,Best TM-score to Retron RT reference structures.
foldseek_TM_LTRRetrotransposon,Best TM-score to LTR retrotransposon RT reference structures.
foldseek_TM_Group2Intron,Best TM-score to Group II Intron RT reference structures.
foldseek_TM_Telomerase,Best TM-score to Telomerase RT reference structures.
rt_family,"Evolutionary family classification (Retroviral, Retron, LTR_Retrotransposon, Group_II_Intron, CRISPR-associated, Other, Unclassified)."
seq_length,Protein sequence length in residues.
log_likelihood,ESM-IF mean log-likelihood per residue. Higher (less negative) = better sequence-structure compatibility.
net_charge,Net charge at pH 7.0 (positive charges minus negative charges).
camsol,"CamSol intrinsic solubility score — positive = soluble, negative = aggregation-prone."
helix_beta_ratio,Ratio of alpha-helix to beta-sheet content (helix fraction / sheet fraction). Higher = more helical.
yxdd_std_hydrophobicity,Standard deviation of hydrophobicity near the YXDD catalytic motif — measures hydrophobic patterning in the active site.
n_residues,Number of resolved residues in the predicted 3D structure (may differ from seq_length due to disordered regions).
sasa_per_res,Solvent-accessible surface area per residue across the full structure (Å²/residue).
apolar_ratio,Fraction of apolar (hydrophobic) surface area relative to total SASA.
mean_rsasa,Mean relative solvent accessibility (0–1 scale) across all residues. Higher = more exposed.
pocket_mean_rsasa,Mean relative solvent accessibility of active-site pocket residues. Higher = more accessible catalytic site.
nterm_avg_sasa,Average SASA of N-terminal active-site residues (Å²).
rama_fav,Percentage of residues in Ramachandran-favoured regions.
rama_out,Percentage Ramachandran outliers (higher = worse structure quality).
hairpin_confidence,Confidence score of the best beta-hairpin detection near the active site.
yxdd_seq,"Amino acid sequence of the YXDD catalytic motif region (e.g., YADD, YMDD). NaN if motif not found."
overall_mean_pot,Mean electrostatic surface potential (kT/e) across the entire protein surface. Negative = acidic surface.
fingers_mean_pot,Mean electrostatic surface potential of the fingers subdomain.
motif12_mean_pot,Mean electrostatic surface potential near conserved motifs 1 and 2 (palm domain catalytic residues).
lpqg_sp_3A_mean_pot,Mean electrostatic surface potential within 3Å of the conserved LPQG/SP motif region.
yxdd_5A_mean_pot,Mean electrostatic surface potential within 5Å of the YXDD catalytic motif.
palm_mean_pot,Mean electrostatic surface potential of the palm subdomain (catalytic core).
thumb_mean_pot,Mean electrostatic surface potential of the thumb subdomain (nucleic acid binding).
connection_mean_pot,Mean electrostatic surface potential of the connection subdomain (links palm to RNase H domain).
